Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025001   1112.696273   1984.235510   3196.787176   3816.849574
0.031251   1115.448370   1991.074560   3326.030376   3897.592688
0.037501   1203.291030   1924.360507   3350.439897   4413.368308
0.043751   1249.280071   1925.406089   3230.907925   4167.925399
0.050001   1253.453133   1935.582589   3259.235240   3913.072499
0.056251   1249.402767   1927.468130   3262.894587   3670.043198
0.062501   1246.012998   1932.343317   3191.092374   3667.166651
0.068751   1241.212313   1948.799709   3275.670688   4207.250332
0.075001   1239.350625   1981.881958   3378.014523   4604.412326
0.081251   1228.825342   2048.440431   3370.035540   4591.432434
0.087501   1218.441585   1964.718073   2922.489242   3647.004133
0.093751   1233.352415   1957.832519   2608.651262   3764.261368
0.100001   1218.341953   1946.596669   2516.981245   3760.866831
0.106251   1286.869611   1950.720737   2529.001678   3753.319716
0.112501   1163.477990   1950.356206   2549.357248   3775.795378
0.118751   1148.281219   1958.875026   2691.774992   3690.156945
0.125001   1198.287035   2062.839994   3037.171914   3669.064257
0.131251   1192.673663   2246.184479   3026.205164   3628.490496
0.137501   1154.727070   2023.032481   2839.490461   3750.958694
0.143751   1037.975023   1887.728763   2814.995848   3747.082433
0.150001   1058.675954   1986.500518   2745.508044   3736.060016
0.156251   1050.575642   1989.914434   2748.857217   3723.709412
0.162501   1023.617553   1823.572661   3035.878096   3751.769893
0.168751   1038.217682   1906.454952   3043.264962   3749.347490
0.175001   1063.820724   1967.938009   3004.699575   3728.731839
0.181251   1073.455024   2014.567034   2946.092429   3732.264590
0.187501   1055.564390   2105.801115   3120.440977   3689.308170
0.193751   1084.505460   2083.874395   2692.556664   3667.236985
0.200001   1153.258472   1750.549981   3160.453055   3598.439499
0.206251   768.512816   1602.837262   2121.236027   3391.234802
0.212501   720.181074   1522.333252   2413.324287   3409.743876
0.218751   655.391306   1474.135284   2755.444735   3492.014348
0.225001   568.428446   1438.556268   2305.243238   3422.212294
0.231251   578.360960   1355.495307   2288.132784   3424.353519
0.237501   552.907331   1315.322227   2009.362845   3297.372640
0.243751   530.403010   1320.865627   1848.211542   3387.350948
0.250001   520.486312   1298.215331   1881.349520   3374.453033
0.256251   616.467304   1169.213073   1899.960109   3352.603728
0.262501   642.628327   1067.152771   1958.107396   3249.903852
