Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026515   1463.583223   2102.517604   3065.886905   3874.977127
0.032765   1507.390830   2404.946953   3387.505792   3564.935064
0.039015   1241.792799   2281.612775   3422.912651   3909.758876
0.045265   1234.894482   2188.245640   2865.381894   3860.003119
0.051515   1250.119663   2141.306827   2964.088330   3807.244457
0.057765   1220.049768   2384.574229   3118.127630   3747.462231
0.064015   1260.834672   2519.367640   3428.552614   3740.712359
0.070265   1375.600450   2440.729381   3287.843246   4135.300539
0.076515   1314.368742   2353.005307   3117.935006   3837.699976
0.082765   1339.902064   2273.266661   2824.658845   3937.261198
0.089015   1305.960989   2102.528048   2969.301835   3871.864785
0.095265   1195.303090   2201.702611   2995.848905   3744.882919
0.101515   1159.025690   2333.379936   2889.296554   3821.268844
0.107765   1258.943490   2203.602406   3046.728758   3906.271743
0.114015   1233.601884   2189.608534   3211.507355   4218.311003
0.120265   1215.716086   2086.029016   3108.084008   4139.645648
0.126515   1154.377326   2105.289464   3104.373147   3932.787626
0.132765   1249.545230   2136.800207   3040.485293   3889.082104
0.139015   1290.196391   2119.116159   2955.182457   3920.588393
0.145265   1339.611599   2221.252983   2865.010232   3972.127580
0.151515   1537.010402   2395.646120   3317.604609   4540.754140
0.157765   1256.883557   2050.311427   2988.524772   4046.295333
0.164015   1406.693317   2038.411513   3102.867243   4195.267937
0.170265   1423.530934   2044.666792   3129.775264   4169.523651
0.176515   1395.972265   2202.735717   3337.043828   3541.955382
0.182765   1406.417527   2179.817832   3189.363778   3574.187118
0.189015   1168.130811   2029.889692   3031.631739   3781.167891
0.195265   1241.775833   2116.787217   2967.684978   3851.603088
0.201515   1397.016641   2124.731709   2987.561752   4020.805463
0.207765   1369.976226   1922.727083   2995.132584   3977.263927
0.214015   1383.615774   2016.945997   3004.033513   3855.002427
0.220265   1440.442773   2412.731344   2624.884398   3659.003711
0.226515   1677.147869   2626.948559   2658.466271   3632.798916
0.232765   1312.041613   2209.924132   3234.509991   3895.977684
0.239015   1247.831739   2192.639303   3207.922858   3820.278423
0.245265   1216.104768   2166.334294   3299.275644   3784.007848
0.251515   1179.119007   2267.649317   3145.613481   4036.487086
0.257765   1304.703726   2227.117761   3082.660309   4053.338382
0.264015   1426.041519   2143.679889   3089.456718   3987.000440
0.270265   1298.946978   1985.641608   3106.440766   4038.442915
0.276515   1260.868661   2121.362610   3043.448741   3816.729923
0.282765   1196.895094   2192.957759   2976.409088   3775.031696
0.289015   1167.597044   2163.714613   3025.888430   3775.352549
0.295265   1223.728298   2116.560350   3200.773780   3780.907726
0.301515   1336.881140   2097.174019   3282.301286   3949.191824
0.307765   1472.245915   2342.242627   3143.722991   3649.430048
0.314015   1428.592151   1977.946272   3104.848537   3843.210428
0.320265   1473.389530   1979.074586   3024.888121   4031.419150
0.326515   1253.226019   2198.284649   3047.059603   4034.391233
0.332765   1300.430959   2238.030382   3038.582830   3863.012764
0.339015   1277.908179   2215.267595   3028.372071   4033.818853
0.345265   1362.529519   2257.655979   2864.452862   4004.677528
0.351515   1314.793233   2141.649271   2944.393867   3982.146089
0.357765   1380.182655   2011.434875   2944.020646   3786.030849
0.364015   1247.333925   2429.594961   2989.579807   3835.146998
0.370265   1143.778477   2297.801565   3116.149055   4008.399902
0.376515   1283.867746   2242.131559   3047.676679   3881.056250
0.382765   1291.876578   2267.319949   2969.743215   3850.640144
0.389015   1275.135889   2395.273871   3082.498972   3870.861091
0.395265   1384.866625   2045.232690   3010.061987   3858.078355
0.401515   1436.213256   2082.981443   3064.249803   4019.272301
0.407765   1217.797353   2280.035762   3003.025918   4119.408626
0.414015   1229.541623   2141.700862   2898.757388   4062.258635
0.420265   1263.404841   2236.083827   2990.607487   3984.551283
0.426515   1332.187734   2313.274312   3202.487886   3966.770428
0.432765   1326.880029   2199.912651   3133.528241   3917.665006
0.439015   1350.868819   2222.545670   2845.517806   3869.782418
0.445265   1558.131513   2542.731389   2600.297137   3938.698559
0.451515   1534.232257   2099.592658   2955.354201   3963.994779
0.457765   1269.404638   1890.691221   3019.793788   3820.995482
0.464015   1264.374943   2210.737406   2958.620257   3757.760214
0.470265   1200.702297   2396.761169   3437.054697   3512.357110
0.476515   1158.014221   2288.431117   3090.983263   3824.481967
0.482765   1184.902366   2263.386597   3038.403680   3970.196352
0.489015   1138.140904   2159.440863   3202.075961   3745.230454
0.495265   1376.959132   2226.110491   2864.165936   3788.986448
0.501515   1379.356331   2259.637394   3117.030586   4016.995553
0.507765   1256.039330   2180.426336   3128.419504   4074.854957
0.514015   1270.839700   2229.481061   3106.987213   3910.653735
0.520265   1266.450568   2027.180502   2970.966940   3778.613109
0.526515   1210.687071   2102.870280   3051.558869   3924.290727
0.532765   1301.976061   2270.722736   3185.606649   3875.254912
0.539015   1292.893654   2286.628516   3125.845555   3633.267435
0.545265   1166.660680   2163.502845   2996.528024   3805.408871
0.551515   1186.993723   2154.922283   2799.837636   3942.598550
0.557765   1298.836660   2102.964538   2915.629853   3863.067883
0.564015   1279.348574   2212.040258   3108.669361   3858.077565
0.570265   1270.321328   2153.880838   3049.802460   3812.095491
0.576515   1246.456144   2050.008272   2888.041039   3875.832030
0.582765   1275.232056   2105.833809   2915.692057   3854.354323
0.589015   1237.269278   2031.559072   2847.549666   3827.505848
0.595265   1305.216619   2225.100141   2897.562073   3835.132269
0.601515   1153.164234   2231.703050   2996.679334   3882.945807
0.607765   1238.870682   2134.216225   2850.824865   3787.643136
0.614015   1419.273724   2187.221574   2926.639160   3821.485464
0.620265   1293.573715   2256.061263   3188.580260   3798.169622
0.626515   1263.864721   2201.284428   3067.027694   3822.982654
0.632765   1254.492408   2229.200223   3074.862892   3932.233278
0.639015   1336.620537   2121.576796   2987.991745   3945.691220
0.645265   1297.218155   2052.128006   3023.228993   3873.618715
0.651515   1300.479773   2069.095163   3051.554970   3837.501774
0.657765   1299.019104   2218.565018   3108.251977   3840.218457
0.664015   1336.748661   2288.553649   2969.563979   3844.776873
0.670265   1195.111807   2077.337264   2974.786427   3830.772087
0.676515   1331.346986   2078.687061   3163.841556   3956.267367
0.682765   1359.813503   2032.885620   3170.957182   3999.532559
0.689015   1333.013354   2402.920274   3005.186970   3652.628379
0.695265   1355.591002   2395.978921   3242.249275   3646.072196
0.701515   1298.719517   2222.354218   3010.421488   3854.691935
0.707765   1221.510633   2088.515619   2947.317144   3934.995945
0.714015   1193.834283   2193.035298   3036.875909   3909.807160
0.720265   1186.291034   2432.385951   3020.085440   3702.139824
0.726515   1263.465701   2188.481601   3200.033604   3810.742500
0.732765   1263.370692   2247.973999   3263.194574   3829.091078
