tmin	tier	text	tmax
0.050141	Parlator	i_0#	0.138006
0.138006	Parlator	t^s\	0.468903
0.468903	Parlator	"i#	0.670806
0.670806	Parlator	g^h	0.842797
0.842797	Parlator	o	0.893273
0.938140	Parlator	s	1.059656
1.059656	Parlator	p^h	1.134435
1.134435	Parlator	o	1.220430
1.220430	Parlator	d^h	1.302687
1.355032	Parlator	"o	1.401769
1.469070	Parlator	S	1.541979
1.541979	Parlator	e#	1.626106
1.626106	Parlator	p^h	1.693407
1.693407	Parlator	S	1.786880
1.786880	Parlator	e	1.857920
1.857920	Parlator	t^h#	1.981305
1.981305	Parlator	v	2.020564
2.020564	Parlator	"o	2.099082
2.192556	Parlator	j	2.257987
2.257987	Parlator	n	2.336505
2.379503	Parlator	o#	2.456151
2.456151	Parlator	(.)	2.684065
2.684065	Parlator	t^s	2.874751
2.968225	Parlator	"o#	3.039265
3.155172	Parlator	t^S	3.476721
3.476721	Parlator	(1_0m_0)	3.650582
3.650582	Parlator	"a	3.766489
3.837529	Parlator	L	3.931003
3.931003	Parlator	i#	4.177773
4.177773	Parlator	(.)	4.394632
4.394632	Parlator	s#	4.680661
4.680661	Parlator	t^h	4.772265
4.772265	Parlator	1	4.915678
4.915678	Parlator	m#	4.977745
4.977745	Parlator	(.)	5.325467
5.325467	Parlator	k^h	5.418941
5.418941	Parlator	o	5.489981
5.489981	Parlator	f	5.544195
5.617105	Parlator	"a	5.691883
5.691883	Parlator	t^S	5.860136
5.860136	Parlator	1#	5.960713
5.960713	Parlator	(.)	6.377980
6.377980	Parlator	t^h	6.422311
6.422311	Parlator	o#	6.482670
6.482670	Parlator	s\	6.591099
6.591099	Parlator	e#	6.686442
6.686442	Parlator	Z	6.791133
6.791133	Parlator	1	6.869115
6.869115	Parlator	L_0	6.971936
6.971936	Parlator	i#	7.047250
7.047250	Parlator	(.)	7.615408
7.615408	Parlator	b^h\	7.652423
7.652423	Parlator	a	7.730941
7.730941	Parlator	r	7.807964
7.807964	Parlator	d^z	7.908915
7.908915	Parlator	o#	7.983694
7.983694	Parlator	d^h\	8.065951
8.065951	Parlator	o	8.110444
8.110444	Parlator	b^h\	8.252524
8.252524	Parlator	Z_k	8.374039
8.374039	Parlator	e_k#	8.441340
8.441340	Parlator	(.)	8.914691
8.914691	Parlator	k^h	8.998817
8.998817	Parlator	o	9.086682
9.086682	Parlator	v	9.168939
9.168939	Parlator	"a	9.308988
9.308988	Parlator	t^S#	9.580061
9.580061	Parlator	(.)	9.845526
9.845526	Parlator	e	9.916566
9.916566	Parlator	k^h	10.019387
10.019387	Parlator	s	10.122208
10.122208	Parlator	p^h	10.210073
10.210073	Parlator	o	10.273261
10.273261	Parlator	r_0	10.366735
10.366735	Parlator	t^h	10.456844
10.529379	Parlator	o	10.591446
10.591446	Parlator	f	10.668094
10.668094	Parlator	"o	10.802696
10.802696	Parlator	w#	10.942906
10.942906	Parlator	z	11.114898
11.114898	Parlator	b^h\	11.290628
11.290628	Parlator	"o	11.440186
11.512934	Parlator	S	11.625102
11.625102	Parlator	e#	11.766807
11.766807	Parlator	d^h\	11.913001
11.942538	Parlator	o#	11.994883
11.994883	Parlator	n\	12.112660
12.112660	Parlator	e	12.226697
12.226697	Parlator	m_0	12.338866
12.338866	Parlator	j_0	12.406167
12.445425	Parlator	e_0	12.518709
12.518709	Parlator	t^s#	12.825303
12.825303	Parlator	(.)	13.350624
13.350624	Parlator	"a#	13.642100
13.642100	Parlator	(.)	14.109094
14.109094	Parlator	p^h	14.161439
14.161439	Parlator	S	14.229114
14.229114	Parlator	e_k	14.303893
14.303893	Parlator	t^h#	14.439990
14.439990	Parlator	v	14.496074
14.514769	Parlator	"o	14.561506
14.591417	Parlator	j	14.659093
14.659093	Parlator	n	14.730133
14.806781	Parlator	o	14.903994
14.903994	Parlator	m_0#	15.008310
15.008310	Parlator	(.)	15.296583
15.296583	Parlator	s	15.418098
15.462430	Parlator	a	15.543353
15.543353	Parlator	m	15.636827
15.696650	Parlator	"a	15.760212
15.760212	Parlator	r	15.859132
15.859132	Parlator	gk^h	16.012429
16.102163	Parlator	a_t#	16.214332
16.214332	Parlator	(.)	16.800971
16.800971	Parlator	t^h	16.862664
16.862664	Parlator	o_k#	16.902297
16.902297	Parlator	b^h	16.990162
16.990162	Parlator	1	17.045872
17.098592	Parlator	w	17.167762
17.167762	Parlator	1#	17.276192
17.276192	Parlator	t^h	17.392099
17.392099	Parlator	f	17.473981
17.473981	Parlator	a_k#	17.546890
17.546890	Parlator	z^w	17.693084
17.747299	Parlator	o	17.807122
17.855728	Parlator	t^h	18.014097
18.014097	Parlator	e_0#	18.128135
18.128135	Parlator	(.)	18.440711
18.440711	Parlator	i_k#	18.524837
18.524837	Parlator	t^h	18.614572
18.614572	Parlator	"o_k#	18.704306
18.704306	Parlator	t^s\	18.915557
19.010900	Parlator	i#	19.115590
19.203455	Parlator	k^h	19.401245
19.401245	Parlator	o	19.468920
19.468920	Parlator	s	19.554916
19.554916	Parlator	p^h	19.637173
19.637173	Parlator	o	19.711415
19.711415	Parlator	d^h\	19.780586
19.780586	Parlator	"o	19.859640
19.859640	Parlator	Z	19.932549
19.932549	Parlator	e#	20.003589
20.003589	Parlator	t^s	20.147539
20.147539	Parlator	o#	20.227926
20.227926	Parlator	s#	20.313760
20.313760	Parlator	n\	20.371339
20.371339	Parlator	i	20.435276
20.435276	Parlator	m#	20.515288
20.515288	Parlator	t^S	20.689524
20.689524	Parlator	1_0	20.730277
20.730277	Parlator	m_0	20.806926
20.806926	Parlator	a	20.842446
20.968075	Parlator	L	20.994248
20.994248	Parlator	i#	21.108285
21.108285	Parlator	w	21.177081
21.246252	Parlator	"o	21.306449
21.306449	Parlator	n#	21.410765
21.410765	Parlator	(.)	21.770078
21.770078	Parlator	i	21.867291
21.934592	Parlator	m#	22.014979
22.014979	Parlator	(.)	22.306617
22.306617	Parlator	w	22.364570
22.364570	Parlator	o	22.409438
22.409438	Parlator	d_}#	22.496767
22.496767	Parlator	(.)	22.676236
22.676236	Parlator	p^h\	22.738303
22.738303	Parlator	r	22.846733
22.846733	Parlator	"o	22.955162
22.955162	Parlator	w#	23.061722
23.061722	Parlator	(.)	23.353359
23.353359	Parlator	s	23.601999
23.601999	Parlator	p^h\	23.682386
23.682386	Parlator	o_k	23.880550
23.880550	Parlator	S	23.966546
23.966546	Parlator	"e_t#	24.254445
24.254445	Parlator	S	24.394655
24.394655	Parlator	1	24.523649
24.523649	Parlator	dt^h	24.663323
24.717912	Parlator	"o#	24.927293
24.927293	Parlator	(.)	25.029739
25.029739	Parlator	p^h	25.084329
25.084329	Parlator	S	25.166585
25.166585	Parlator	e	25.261928
25.261928	Parlator	v	25.344185
25.344185	Parlator	"a	25.482526
25.482526	Parlator	^ZS	25.620867
25.620867	Parlator	n\	25.736774
25.736774	Parlator	e#	25.826509
25.826509	Parlator	b^h\	25.942416
25.942416	Parlator	o#	26.013456
26.013456	Parlator	^dt^h	26.116277
26.173856	Parlator	o#	26.234054
26.234054	Parlator	(.)	26.431681
26.431681	Parlator	p^h	26.527024
26.527024	Parlator	S	26.615426
26.615426	Parlator	e_k	26.695813
26.695813	Parlator	t^h#	26.801837
26.801837	Parlator	v_k	26.828009
26.828009	Parlator	o_k	26.867268
26.906902	Parlator	j_k	26.942047
26.942047	Parlator	n	27.005984
27.035895	Parlator	o#	27.091980
27.091980	Parlator	(.)	27.293508
27.293508	Parlator	p^h	27.390720
27.390720	Parlator	S	27.501394
27.501394	Parlator	e	27.578042
27.578042	Parlator	n\	27.667777
27.667777	Parlator	i	27.733208
27.733208	Parlator	t^s	27.931372
27.931372	Parlator	"e#	28.013629
28.013629	Parlator	t^h	28.120189
28.120189	Parlator	o#	28.219271
28.219271	Parlator	(.)	28.484736
28.484736	Parlator	u_0	28.548298
28.548298	Parlator	s\	28.635627
28.667408	Parlator	o#	28.725898
28.725898	Parlator	m^j	28.778243
28.778243	Parlator	e#	28.881064
28.881064	Parlator	d::^h\	29.417441
