tmin	tier	text	tmax
0	Parlator	(.)	0.727076
0	Eksplorator	(...)	4.224136
0.727076	Parlator	(_)	0.774253
0.774253	Parlator	(_)	0.856192
0.856192	Parlator	(_)	0.948063
0.948063	Parlator	(_)	1.027519
1.027519	Parlator	(_)	1.097043
1.097043	Parlator	(_)	1.164085
1.164085	Parlator	(.)	1.345560
1.345560	Parlator	n	1.377311
1.377311	Parlator	o#	1.404936
1.404936	Parlator	a#	1.471977
1.509222	Parlator	v	1.571297
1.571297	Parlator	a	1.638372
1.661303	Parlator	s\	1.753027
1.753027	Parlator	t^s\	1.855335
1.855335	Parlator	(i~e~)#	1.921401
1.921401	Parlator	(st)	2.042311
2.042311	Parlator	a	2.086409
2.086409	Parlator	k^c^h	2.179633
2.179633	Parlator	i	2.239871
2.239871	Parlator	C#	2.294553
2.294553	Parlator	t^h\	2.403764
2.403764	Parlator	(1)	2.440806
2.440806	Parlator	p^h	2.532220
2.532220	Parlator	"o	2.588976
2.588976	Parlator	v	2.650713
2.650713	Parlator	o#	2.706030
2.706030	Parlator	s\	2.772424
2.772424	Parlator	l	2.809467
2.809467	Parlator	u~	2.894135
2.894135	Parlator	c^h	3.001508
3.001508	Parlator	(1)	3.053651
3.053651	Parlator	(x#r)	3.120692
3.120692	Parlator	(o)	3.167869
3.167869	Parlator	z\	3.237393
3.237393	Parlator	(i)	3.299838
3.299838	Parlator	n#	3.333353
3.333353	Parlator	(t)	3.368992
3.368992	Parlator	(o)#	3.440999
3.440999	Parlator	t	3.499162
3.499162	Parlator	(o)#	3.567633
3.567633	Parlator	d^z\	3.681636
3.681636	Parlator	t^s\	3.746194
3.746194	Parlator	(n\e#potrafjow~#)	4.220448
4.220448	Parlator	(...)	4.709600
4.224136	Eksplorator	n\e potrafjow~	4.709063
4.709063	Eksplorator	(...)	42.369905
4.709600	Parlator	n\	4.818852
4.818852	Parlator	"e#	4.895825
4.895825	Parlator	p^h	4.965349
4.965349	Parlator	o	5.015987
5.015987	Parlator	(tr)	5.104398
5.104398	Parlator	a	5.156541
5.156541	Parlator	f^j	5.253378
5.253378	Parlator	u~#	5.317936
5.317936	Parlator	(.)	5.752462
5.752462	Parlator	m	5.814537
5.913825	Parlator	"a#	5.947340
6.039064	Parlator	(s)	6.086690
6.086690	Parlator	(o~)	6.159674
6.159674	Parlator	s\	6.224233
6.224233	Parlator	a	6.282486
6.282486	Parlator	t^h	6.360099
6.360099	Parlator	k^h	6.452669
6.452669	Parlator	a#	6.524461
6.591503	Parlator	(.)	6.934157
6.934157	Parlator	(_)	7.008647
7.008647	Parlator	t^s	7.073205
7.073205	Parlator	o#	7.150185
7.150185	Parlator	v^w	7.242050
7.259549	Parlator	"a	7.305411
7.341370	Parlator	s\	7.443173
7.443173	Parlator	n\	7.517663
7.517663	Parlator	e~#	7.594636
7.594636	Parlator	t^h	7.716304
7.716304	Parlator	e	7.848700
7.900046	Parlator	i:#	8.063924
8.063924	Parlator	d^s\	8.130965
8.130965	Parlator	e	8.175659
8.175659	Parlator	t^s\	8.302029
8.302029	Parlator	(i_t)#	8.347892
8.347892	Parlator	(s)	8.399130
8.399130	Parlator	"a	8.444907
8.444907	Parlator	v	8.476103
8.476103	Parlator	S	8.550593
8.550593	Parlator	e~#	8.603661
8.603661	Parlator	m)j#	8.744267
8.744267	Parlator	k^h	8.825763
8.825763	Parlator	o	8.868418
8.868418	Parlator	p^h	8.925527
8.925527	Parlator	(o)	8.985119
8.985119	Parlator	(t1#s#p)	9.193691
9.193691	Parlator	o	9.263217
9.263217	Parlator	l	9.288045
9.288045	Parlator	(ski_0m_0)#	9.541917
9.917634	Parlator	i#	9.961732
9.961732	Parlator	t^h	10.042664
10.042664	Parlator	"a#	10.102256
10.102256	Parlator	m	10.186678
10.186678	Parlator	a	10.263651
10.263651	Parlator	w	10.302170
10.302170	Parlator	a#	10.365454
10.365454	Parlator	m	10.422564
10.422564	Parlator	a#	10.472224
10.472224	Parlator	t^h	10.529716
10.529716	Parlator	e	10.556175
10.556175	Parlator	r	10.589690
10.589690	Parlator	a#	10.632024
10.632024	Parlator	t^h	10.703143
10.703143	Parlator	e	10.745354
10.745354	Parlator	(rz#d^h\)	10.804946
10.804946	Parlator	o~	10.874470
10.874470	Parlator	(dz\eft^S1)	11.102907
11.102907	Parlator	N	11.177397
11.177397	Parlator	k^h	11.234506
11.234506	Parlator	"e#	11.323894
11.323894	Parlator	t^h\	11.363622
11.363622	Parlator	o#	11.579644
11.579644	Parlator	p^h	11.663769
11.663769	Parlator	o#	11.716209
11.716209	Parlator	k^h	11.788216
11.788216	Parlator	o	11.832910
11.832910	Parlator	m	11.922298
11.922298	Parlator	u~	11.991822
11.991822	Parlator	n\	12.048931
12.048931	Parlator	i~#	12.128387
12.128387	Parlator	(.)	12.515522
12.560216	Parlator	i#	12.616137
12.616137	Parlator	?	12.669468
12.669468	Parlator	"o	12.719128
12.719128	Parlator	n	12.758856
12.758856	Parlator	a#	12.843278
12.843278	Parlator	t^h	12.905353
12.905353	Parlator	e	13.002190
13.002190	Parlator	S#	13.072994
13.072994	Parlator	n	13.110036
13.110036	Parlator	a	13.132967
13.132967	Parlator	j	13.178484
13.178484	Parlator	g^h\	13.240559
13.240559	Parlator	"o	13.309360
13.309360	Parlator	r	13.378153
13.378153	Parlator	S	13.439199
13.439199	Parlator	a#	13.480461
13.528087	Parlator	o	13.588179
13.588179	Parlator	t^s	13.665153
13.665153	Parlator	e	13.708007
13.708007	Parlator	n	13.769745
13.769745	Parlator	a#	13.819099
13.819099	Parlator	(z#je~z1k)	14.119542
14.119542	Parlator	a#	14.181617
14.181617	Parlator	p^h	14.248659
14.248659	Parlator	o	14.286575
14.286575	Parlator	l	14.345496
14.345496	Parlator	(sc)	14.468260
14.468260	Parlator	e	14.516823
14.516823	Parlator	g^h	14.566483
14.566483	Parlator	o#	14.606211
14.644652	Parlator	a#	14.679931
14.710497	Parlator	d^h	14.757674
14.757674	Parlator	l	14.796350
14.796350	Parlator	a#	14.856995
14.856995	Parlator	t^S	14.967298
14.967298	Parlator	e	15.020873
15.020873	Parlator	g^h	15.085431
15.085431	Parlator	o#	15.162404
15.162404	Parlator	(.)	15.427871
15.427871	Parlator	d^l	15.467599
15.467599	Parlator	a	15.512293
15.512293	Parlator	t^h	15.584673
15.584673	Parlator	"e	15.626511
15.626511	Parlator	g^h	15.691069
15.691069	Parlator	o#	15.770526
15.770526	Parlator	Z	15.824567
15.824567	Parlator	e#	15.863373
15.944514	Parlator	o	15.976264
15.976264	Parlator	n	16.118146
16.118146	Parlator	a#	16.249745
16.249745	Parlator	(_)	16.314303
16.314303	Parlator	(_)	16.396243
16.396243	Parlator	(_)	16.510461
16.510461	Parlator	(_)	16.577502
16.577502	Parlator	m	16.643029
16.643029	Parlator	u	16.697710
16.697710	Parlator	vj)	16.764740
16.764740	Parlator	i#	16.823319
16.823319	Parlator	(gv)	16.946272
17.002096	Parlator	"a	17.071620
17.071620	Parlator	r	17.138540
17.138540	Parlator	o~	17.186166
17.186166	Parlator	w~#	17.242947
17.242947	Parlator	(.)	17.570704
17.570704	Parlator	i#	17.749480
17.749480	Parlator	(_)	17.937598
17.937598	Parlator	(_)	18.010195
18.010195	Parlator	n	18.073421
18.073421	Parlator	a	18.129866
18.129866	Parlator	j	18.186312
18.186312	Parlator	(st)	18.278145
18.278145	Parlator	a	18.337737
18.337737	Parlator	(rS)	18.414710
18.414710	Parlator	a#	18.484235
18.484235	Parlator	t^s	18.571140
18.571140	Parlator	u	18.648113
18.648113	Parlator	(rk)	18.774746
18.774746	Parlator	"a#	18.883998
19.015205	Parlator	j	19.048720
19.048720	Parlator	e	19.082639
19.082639	Parlator	(s#t)	19.253966
19.253966	Parlator	a	19.295669
19.295669	Parlator	r	19.375046
19.375046	Parlator	S	19.460055
19.460055	Parlator	a#	19.517924
19.517924	Parlator	o	19.562022
19.562022	Parlator	d^h#	19.597301
19.597301	Parlator	n	19.627288
19.627288	Parlator	a	19.698424
19.698424	Parlator	S	19.743707
19.743707	Parlator	1	19.785329
19.785329	Parlator	(x#d^z\)	19.874717
19.874717	Parlator	e	19.921863
19.921863	Parlator	(ft^S)	20.046044
20.046044	Parlator	(1~n)	20.142354
20.142354	Parlator	"e	20.214889
20.214889	Parlator	k^h#	20.324141
20.324141	Parlator	(.)	20.644448
20.644448	Parlator	r	20.710338
20.710338	Parlator	o	20.748734
20.748734	Parlator	(k#t^S)	20.909662
20.909662	Parlator	1	20.962273
20.962273	Parlator	(dv)	21.045485
21.045485	Parlator	"a#	21.103694
21.103694	Parlator	l	21.142500
21.142500	Parlator	a	21.210359
21.210359	Parlator	d^h	21.304713
21.304713	Parlator	a#	21.381686
21.381686	Parlator	(.)	21.735027
21.735027	Parlator	u~	21.759722
21.759722	Parlator	n	21.796765
21.796765	Parlator	o#	21.838559
21.838559	Parlator	f#S	21.930823
21.930823	Parlator	k^h	22.017335
22.017335	Parlator	o	22.049006
22.049006	Parlator	l	22.077229
22.077229	Parlator	e#	22.106723
22.106723	Parlator	v	22.163662
22.163662	Parlator	1	22.197176
22.197176	Parlator	(gr)	22.280533
22.280533	Parlator	"a:#	22.444412
22.444412	Parlator	gk^h	22.551181
22.551181	Parlator	o	22.616991
22.616991	Parlator	o~	22.675331
22.675331	Parlator	N	22.742372
22.742372	Parlator	u#	22.834243
22.834243	Parlator	(sn)	22.921149
22.921149	Parlator	"o	22.973292
22.973292	Parlator	(ovu)#	23.201728
23.201728	Parlator	(.)	23.353191
23.353191	Parlator	(na)#	23.430164
23.430164	Parlator	(gv)	23.541900
23.569359	Parlator	"a	23.592290
23.592290	Parlator	r	23.631096
23.631096	Parlator	e#	23.661084
23.661084	Parlator	(.)	24.943457
24.943457	Parlator	"a	24.987556
24.987556	Parlator	l	25.061488
25.061488	Parlator	e#	25.115910
25.115910	Parlator	(.)	25.251992
25.251992	Parlator	?	25.304910
25.334897	Parlator	o	25.398972
25.398972	Parlator	n\#	25.530571
25.530571	Parlator	s\	25.608305
25.608305	Parlator	e#	25.659459
25.659459	Parlator	n\#	25.722961
25.722961	Parlator	(u)	25.759008
25.759008	Parlator	m^j	25.899353
25.899353	Parlator	(ow)#	25.979995
25.979995	Parlator	(pS)	26.066926
26.066926	Parlator	e	26.114552
26.114552	Parlator	(st)	26.268014
26.268014	Parlator	"a	26.335043
26.335043	Parlator	(vi)	26.589049
26.589049	Parlator	t^s\#	26.640202
26.640202	Parlator	(.)	27.255660
27.255660	Parlator	"o	27.315637
27.315637	Parlator	(n\#muvjo#)	27.663257
27.663257	Parlator	t^s	27.740231
27.740231	Parlator	"a	27.812238
27.812238	Parlator	(w1)#	27.901626
27.901626	Parlator	t^S	27.995980
27.995980	Parlator	a	28.045640
28.045640	Parlator	s#	28.097053
28.097053	Parlator	v	28.128804
28.128804	Parlator	a	28.201125
28.201125	Parlator	s\	28.244280
28.244280	Parlator	t^s\	28.335183
28.335183	Parlator	vj)	28.388295
28.388295	Parlator	e#	28.435472
28.435472	Parlator	t^h	28.522160
28.522160	Parlator	1	28.562730
28.562730	Parlator	m#	28.639078
28.639078	Parlator	a_k	28.698670
28.698670	Parlator	(kt^s)	28.841430
28.841430	Parlator	1~	28.892345
28.892345	Parlator	n	28.979250
28.979250	Parlator	t^h	29.036359
29.036359	Parlator	1~	29.072505
29.072505	Parlator	m#	29.130714
29.130714	Parlator	(i#t^s)	29.324387
29.324387	Parlator	a	29.368844
29.368844	Parlator	w#	29.463436
29.463436	Parlator	t^s	29.535443
29.535443	Parlator	a	29.585103
29.585103	Parlator	s#	29.691872
29.691872	Parlator	(t@)#	29.796158
29.796158	Parlator	(gv)	29.870434
29.870434	Parlator	a	29.959822
29.959822	Parlator	(row#muvjow#)	30.421661
30.421661	Parlator	(.)	30.933159
30.933159	Parlator	n	31.062062
31.062062	Parlator	a#	31.134283
31.134283	Parlator	t^s	31.275814
31.275814	Parlator	o#	31.337889
31.337889	Parlator	j	31.406027
31.406027	Parlator	"e	31.476937
31.476937	Parlator	s#	31.576976
31.576976	Parlator	(.)	32.585942
32.585942	Parlator	n\	32.619119
